t,pwf,qg
1119,665.8,500.7
1120,678.17,498.79
1121,652.73,506.9
1122,653.56,532.17
1123,652.4,507.78
1124,653.39,491.19
1125,652.66,493.55
1126,653.35,482.01
1127,665.37,489.73
1128,659.67,514.17
1129,653.21,533.52
1130,641.1,510.03
1131,646.36,471.08
1132,684.39,507.89
1133,640,499.27
1134,641.06,500.25
1135,640.38,507.29
1136,641.07,502.9
1137,633.45,488.25
1138,659.51,475.24
1139,659.14,480.52
1140,665.71,477.28
1141,665.76,491.54
1142,665.75,487.09
1143,657.74,370.8
1144,659.79,542.78
1145,650.78,520.11
1146,653.41,496.44
1147,645.9,506.18
1148,647.25,502.04
1149,640.74,510.64
1150,634.85,493.87
1151,640.72,505.25
1152,641.04,496.11
1153,634.44,484.47
1154,634.76,471.64
1155,640.6,480.41
1156,505.18,481.39
1157,627.9,483.54
1158,628.59,474.51
1159,653.34,478.76
1160,647.18,485.3
1161,649.75,485.75
1162,648.48,501.92
1163,640.98,481.71
1164,640.94,470.39
1165,652.52,467.89
1166,653.28,462.1
1167,632.25,482.3
1168,634.8,482.12
1169,640.21,476.36
1170,640.94,470
1171,634.91,507.5
1172,634.78,476.54
1173,633.65,469.63
1174,634.74,465.71
1175,643.93,496.1
1176,647.25,502.48
1177,633.82,497.41
1178,634.79,479.84
1179,640.98,481.69
1180,640.94,471.35
1181,639.78,462.74
1182,640.89,458.51
1183,640.9,459.35
1184,640.91,461.78
1185,633.58,458.11
1186,634.73,463.4
1187,634.74,466.7
1188,634.75,467.46
1189,640.94,470.61
1190,640.92,464
1191,627.89,481.64
1192,628.63,483.56
1193,627.85,473.46
1194,628.57,468.62
1195,610.11,490.13
1196,610.02,466.61
1197,620.2,482.81
1198,622.49,494.81
1199,615.53,479.78
1200,616.34,500.94
1201,628.84,533.87
1202,610.14,496.18
1203,613.93,496.71
1204,616.24,476.75
1205,634.07,481.62
1206,634.84,491.75
1207,613.42,497.59
1208,616.3,493
1209,602.51,473.43
1210,603.84,468
1211,645.61,462.13
1212,647.08,459.67
1213,646.29,456.85
1214,647.08,459.15
1215,645.98,467.02
1216,647.1,464.57
1217,646.3,459.09
1218,647.1,463.87
1219,636.58,482.34
1220,640.97,477.52
1221,638.04,470.54
1222,640.9,459.5
1223,653.05,499.9
1224,653.23,448.38
1225,651.52,470.99
1226,653.29,466.08
1227,602.84,476.2
1228,603.77,450.6
1229,662.87,461.09
1230,665.65,461.68
1231,670.67,464.88
1232,671.84,462.83
1233,651.11,458.04
1234,653.34,479.16
1235,657.36,468.92
1236,659.57,491.15
1237,657.51,526.59
1238,659.58,493.6
1239,651.29,482.45
1240,653.38,487.87
1241,670.1,481.9
1242,671.85,465.07
1243,661.07,434.66
1244,665.7,474.23
1245,650.89,468.44
1246,653.31,471.16
1247,632.67,502.37
1248,634.88,500.39
1249,602.12,498.42
1250,603.96,496.44
1251,602.09,494.46
1252,603.94,490.51
1253,602.81,518.03
1254,603.99,503.26
1255,626.77,500.3
1256,628.73,507.91
1257,620.62,501.33
1258,622.37,463.96
1259,632.21,478.2
1260,634.81,482.84
1261,620.13,506.17
1262,622.58,516.46
1263,595.96,498.11
1264,597.68,472.12
1265,621.35,475.63
1266,622.39,470.8
1267,633.83,437.29
1268,634.18,286.7
1269,624.03,396.61
1270,628.55,464.87
1271,609.16,501.13
1272,591.55,483.25
1273,602.29,483.57
1274,591.58,488.54
1275,596.47,491.39
1276,597.68,471.14
1277,609.86,453.72
1278,615.97,405.24
1279,615.73,329.77
1280,616.24,476.59
1281,574.25,404.32
1282,597.4,399.3
1283,603.81,458.9
1284,603.84,467.43
1285,586.73,474.06
1286,591.33,427.13
1287,606.85,423
1288,609.89,434.86
1289,597.53,433.81
1290,597.62,456.97
1291,597.57,444.2
1292,597.61,453.64
1293,601.24,456.46
1294,601.33,457.66
1295,598.41,468.88
1296,601.37,467.99
1297,577.55,464.14
1298,579.09,457.43
1299,588.28,461.34
1300,591.4,446.38
1301,614.05,446.68
1302,616.14,452.55
1303,607.64,451.26
1304,609.98,457.59
1305,613.87,460.78
1306,616.12,446.83
1307,607.84,441.45
1308,609.92,443.09
1309,619.88,442.2
1310,622.27,438.04
1311,614.2,466.42
1312,616.18,462.13
1313,608.89,456.05
1314,630.98,453.91
1315,632.72,454.89
1316,618.66,465.23
1317,610.03,470.02
1318,610.03,470.4
1319,610.73,468.67
1320,616.21,469.27
1321,607.75,465.16
1322,610.01,465.72
1323,615.82,465.22
1324,608.79,469.13
1325,589.28,79.21
1326,590.73,571.87
1327,647.38,533.8
1328,647.24,500.77
1329,618.02,503.89
1330,622.47,489.75
1331,608.73,480.7
1332,610.06,477.75
1333,613.54,483.21
1334,615.01,477.67
1335,606.32,470.06
1336,612.54,479.29
1337,601.79,475.93
1338,606.35,475.98
1339,608.66,470.8
1340,610.07,479.45
1341,614.23,470.49
1342,616.22,471.28
1343,595.49,472.14
1344,597.68,472.72
1345,599.83,466.96
1346,606.32,468.14
1347,600.11,461.24
1348,600.12,464.86
1349,592.51,456.85
1350,597.6,451
1351,614.11,454.74
1352,616.13,450.33
1353,608.27,458.08
1354,609.99,459.47
1355,600.09,456.86
1356,605.01,450.18
1357,612.61,458.86
1358,608.7,447
1359,601.96,438.08
1360,603.81,458.57
1361,600,465.82
1362,601.27,441.78
1363,620.57,454.93
1364,622.32,452.63
1365,618.38,443.83
1366,622.26,435.86
1367,627.34,445.76
1368,628.07,317.76
1369,614.08,514.51
1370,616.33,499.12
1371,589.89,472.76
1372,591.52,474.98
1373,589.66,479.78
1374,591.53,478.14
1375,589.87,470.06
1376,587.67,439.62
1377,572.36,433.21
1378,586.43,439.21
1379,586.82,464.49
1380,588.95,450.47
1381,583.36,460.06
1382,585.3,465.24
1383,589.12,444.47
1384,591.38,440.56
1385,607.9,448.88
1386,610.04,472.88
1387,604.53,429.28
1388,587.58,416.8
1389,594.66,435.48
1390,597.47,416.96
1391,597.24,454.64
1392,597.61,453.58
1393,597.63,458.92
1394,597.63,459.94
1395,587,453
1396,591.51,474.18
1397,589.15,448.85
1398,591.42,451.09
1399,590.35,449.75
1400,597.61,455.21
1401,594.16,457.25
1402,597.62,455.66
1403,594.92,463.9
1404,597.6,452.71
1405,576.85,449
1406,579.05,446.16
1407,579.14,469.59
1408,582.52,447.92
1409,591.46,461.73
1410,591.48,465.12
1411,593.97,459.01
1412,597.59,450.02
1413,589.43,448.73
1414,591.35,432.63
1415,638.29,397.03
1416,640.89,457.82
1417,601.8,456.4
1418,585.29,462.16
1419,590.25,433.58
1420,609.97,454.94
1421,582.26,449.68
1422,585.26,456.49
1423,588.79,437.45
1424,591.37,438.32
1425,595.39,459.27
1426,597.54,435.3
1427,607.62,443.82
1428,609.92,440.94
1429,590.29,440.96
1430,591.38,441.46
1431,593.93,433.69
1432,597.59,449.34
1433,596.18,448.73
1434,597.52,431.47
1435,601.91,430.86
1436,603.73,440.49
1437,601.43,444.86
1438,603.76,446.2
1439,602.34,447.96
1440,603.76,446.4
1441,602.35,449.07
1442,585.2,441.54
1443,587.84,438.1
1444,591.37,438.22
1445,577.05,440.59
